0, 0, Header, 0, 1, 480
1, 0, Start_track
1, 0, Title_t, "YOU'RE BEAUTIFUL"
1, 0, Tempo, 750000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, MIDI_port, 0
1, 0, Lyric_t, "\015"
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 5, System_exclusive, 5, 126, 127, 9, 1, 247
1, 56, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 118, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 52, 93, 46, 247
1, 315, Control_c, 1, 121, 0
1, 317, Control_c, 7, 121, 0
1, 320, Control_c, 3, 121, 0
1, 320, Control_c, 4, 121, 0
1, 325, Control_c, 5, 121, 0
1, 327, Control_c, 6, 121, 0
1, 332, Control_c, 8, 121, 0
1, 335, Control_c, 9, 121, 0
1, 337, Control_c, 10, 121, 0
1, 340, Control_c, 11, 121, 0
1, 342, Control_c, 12, 121, 0
1, 345, Control_c, 2, 121, 0
1, 345, Control_c, 13, 121, 0
1, 359, Control_c, 6, 101, 0
1, 360, Control_c, 6, 100, 0
1, 361, Control_c, 6, 6, 6
1, 362, Control_c, 6, 38, 32
1, 484, Control_c, 1, 91, 0
1, 484, Control_c, 1, 93, 0
1, 484, Control_c, 3, 32, 1
1, 484, Control_c, 3, 0, 0
1, 487, Control_c, 4, 32, 1
1, 487, Control_c, 4, 0, 0
1, 488, Program_c, 3, 63
1, 489, Control_c, 3, 91, 105
1, 489, Control_c, 3, 93, 0
1, 489, Control_c, 5, 32, 1
1, 489, Control_c, 5, 0, 0
1, 491, Program_c, 4, 53
1, 491, Control_c, 4, 91, 86
1, 491, Control_c, 4, 93, 20
1, 492, Control_c, 6, 32, 1
1, 492, Control_c, 6, 0, 0
1, 493, Program_c, 5, 49
1, 494, Control_c, 7, 32, 1
